ApartmentID,ApartmentName,ApartmentAddress,ContactPerson,MobileNumber,EmailID,CropWanted,QuantityWanted,MaxPrice,DeliveryPreference
A001,Green View Apartments,"Mysuru, Karnataka",Mr. Rajesh,9876541122,rajesh@greenview.com,Lettuce,50,55,Drop-off
A002,Skyline Residency,"Mysuru, Karnataka",Ms. Kavya,9876541123,kavya@skyline.com,Tomato,120,35,Pickup
A003,Palm Meadows,"Mysuru, Karnataka",Mr. Arvind,9876541124,arvind@palm.com,Cucumber,80,30,Drop-off
A004,Brigade Harmony,"Mysuru, Karnataka",Ms. Sneha,9876541125,sneha@brigade.com,Carrot,90,40,Drop-off
A005,Prestige Heights,"Mysuru, Karnataka",Mr. Joseph,9876541126,joseph@prestige.com,Spinach,60,22,Pickup
A006,Golden Nest Apartments,"Mysuru, Karnataka",Mr. Sagar,9876541127,sagar@goldennest.com,Onion,200,30,Drop-off
A007,Sri Sai Residency,"Mysuru, Karnataka",Ms. Pooja,9876541128,pooja@srisai.com,Potato,150,25,Pickup
A008,Lake View Enclave,"Mysuru, Karnataka",Mr. Vinay,9876541129,vinay@lakeview.com,Brinjal,70,35,Drop-off
A009,Sunrise Apartments,"Mysuru, Karnataka",Mrs. Keerthi,9876541130,keerthi@sunrise.com,Cabbage,100,30,Drop-off
A010,Royal Residency,"Mysuru, Karnataka",Mr. Sharath,9876541131,sharath@royal.com,Cauliflower,75,38,Pickup
A011,Eco Homes,"Mysuru, Karnataka",Ms. Anitha,9876541132,anitha@eco.com,Green Peas,55,48,Drop-off
A012,Krishna Meadows,"Mysuru, Karnataka",Mr. Gautham,9876541133,gautham@krishna.com,Pumpkin,90,30,Pickup
A013,Blue Moon Apartments,"Mysuru, Karnataka",Mrs. Jaya,9876541134,jaya@bluemoon.com,Radish,65,25,Drop-off
A014,Garden View Homes,"Mysuru, Karnataka",Mr. Sudhir,9876541135,sudhir@gardenview.com,Beetroot,85,32,Pickup
A015,Elite Enclave,"Mysuru, Karnataka",Ms. Ritu,9876541136,ritu@elite.com,Chilli,45,55,Drop-off
A016,Sky Towers,"Mysuru, Karnataka",Mr. Naveen,9876541137,naveen@skytower.com,Papaya,120,45,Pickup
A017,Ocean Pearl Residency,"Mysuru, Karnataka",Mrs. Shalini,9876541138,shalini@oceanpearl.com,Banana,180,20,Drop-off
A018,Riverfront Apartments,"Mysuru, Karnataka",Mr. Bharat,9876541139,bharat@riverfront.com,Watermelon,200,18,Pickup
A019,Hilltop Residency,"Mysuru, Karnataka",Ms. Reshma,9876541140,reshma@hilltop.com,Muskmelon,160,28,Drop-off
